^fall17
AGROECOL,720,7,4.000,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
AGROECOL,724,13,3.923,84.6,15.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
AGRONOMY,100,60,3.415,33.3,31.7,25.0,0,8.3,0,0,1.7,0,0,0,0,0,0,0,0,
AGRONOMY,103,13,3.346,53.8,15.4,15.4,7.7,0,0,7.7,0,0,0,0,0,0,0,0,0,
AGRONOMY,203,47,3.728,70.2,19.1,2.1,0,4.3,2.1,0,0,0,0,0,0,2.1,0,0,0,
AGRONOMY,302,16,3.094,25.0,18.8,25.0,12.5,18.8,0,0,0,0,0,0,0,0,0,0,0,
AGRONOMY,339,15,3.300,20.0,33.3,33.3,13.3,0,0,0,0,0,0,0,0,0,0,0,0,
AGRONOMY,370,47,3.767,78.7,6.4,4.3,4.3,0,0,2.1,4.3,0,0,0,0,0,0,0,0,
AGRONOMY,375,71.4,0.0,14.3,0,0,0,0,0,14.3,0,0,0,0,0,0,0,0,3.950,
AGRONOMY,632,7,3.357,28.6,28.6,28.6,14.3,0,0,0,0,0,0,0,0,0,0,0,0,
AGRONOMY,724,6,4.000,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
AGRONOMY,811,10,3.611,40.0,30.0,20.0,0,0,0,0,10.0,0,0,0,0,0,0,0,0,
AGRONOMY,957,7,3.929,85.7,14.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
AGRONOMY,990,32,0.0,0,0,0,0,0,0,0,59.4,0,0,0,40.6,0,0,0,0,
MICROBIO,101,346,3.113,28.3,9.8,33.8,14.5,11.6,1.2,0.3,0,0,0,0,0,0,0.6,0,0,
MICROBIO,102,146,3.290,28.1,17.8,43.8,5.5,2.7,1.4,0,0.7,0,0,0,0,0,0,0,0,
MICROBIO,299,18,3.947,83.3,16.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
MICROBIO,303,214,3.120,25.7,16.4,38.3,5.6,9.3,2.8,1.4,0,0,0,0,0,0.5,0,0,0,
MICROBIO,304,157,3.345,30.6,25.5,31.2,7.0,3.8,0,0.6,0,0,0,0,0,1.3,0,0,0,
MICROBIO,305,61,3.869,86.9,4.9,4.9,1.6,1.6,0,0,0,0,0,0,0,0,0,0,0,
MICROBIO,324,13,2.846,30.8,0,23.1,15.4,23.1,7.7,0,0,0,0,0,0,0,0,0,0,
MICROBIO,325,42,3.024,26.2,9.5,38.1,4.8,11.9,7.1,0,2.4,0,0,0,0,0,0,0,0,
MICROBIO,450,35,3.343,42.9,11.4,34.3,0,8.6,2.9,0,0,0,0,0,0,0,0,0,0,
MICROBIO,470,46,3.111,28.3,15.2,26.1,15.2,8.7,4.3,0,2.2,0,0,0,0,0,0,0,0,
MICROBIO,526,60,3.650,65.0,21.7,1.7,5.0,5.0,1.7,0,0,0,0,0,0,0,0,0,0,
MICROBIO,527,95,3.526,48.4,25.3,21.1,2.1,1.1,0,2.1,0,0,0,0,0,0,0,0,0,
MICROBIO,528,48,2.875,25.0,12.5,22.9,8.3,22.9,8.3,0,0,0,0,0,0,0,0,0,0,
MICROBIO,612,14,3.536,42.9,21.4,35.7,0,0,0,0,0,0,0,0,0,0,0,0,0,
MICROBIO,622,9,3.833,66.7,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
MICROBIO,640,29,3.339,27.6,41.4,13.8,3.4,6.9,3.4,0,3.4,0,0,0,0,0,0,0,0,
MICROBIO,699,41,3.966,92.7,2.4,2.4,0,0,0,0,0,0,0,0,0,0,0,2.4,0,
MICROBIO,731,35,4.000,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
MICROBIO,810,15,4.000,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
MICROBIO,875,100.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.000,
MICROBIO,914,9,4.000,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
MICROBIO,932,7,4.000,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
MICROBIO,990,49,0.0,0,0,0,0,0,0,0,20.4,0,0,0,79.6,0,0,0,0,
BIOCHEM,299,38,4.000,97.4,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6,0,
